IP ADDRESS,COUNTRY,ORGANIZATION,HOSTNAME
37.187.59.174,FR,OVH SAS,174.ip-37-187-59.eu
95.160.47.124,PL,VECTRA S.A.,095160047124.rzeszow.vectranet.pl
51.64.189.62,GB,UK HOME OFFICE (THE SECRETARY OF STATE FOR THE HOME DEPARTMENT),NONE
121.148.138.190,KR,KOREA TELECOM,NONE
121.86.46.96,JP,OPTAGE INC.,121-86-46-96f1.hyg1.eonet.ne.jp
139.138.78.4,US,BLUE STREAM,139-138-78-4.miami.fl.bluestreamfiber.net
1.1.1.1,US,"CLOUDFLARE, INC.",one.one.one.one
150.162.157.117,BR,UNIVERSIDADE FEDERAL DE SANTA CATARINA,cca157-117.cca.ufsc.br
217.36.254.7,GB,BRITISH TELECOMMUNICATIONS PLC,host217-36-254-7.in-addr.btopenworld.com
110.121.97.125,CN,CHINA TIETONG TELECOMMUNICATIONS CORPORATION,NONE
78.165.166.162,TR,TURK TELEKOMUNIKASYON ANONIM SIRKETI,78.165.166.162.dynamic.ttnet.com.tr
104.218.195.108,US,"FRONTIER COMMUNICATIONS OF AMERICA, INC.",NONE
68.195.205.216,US,CABLEVISION SYSTEMS CORP.,ool-44c3cdd8.static.optonline.net
52.68.0.1,JP,"AMAZON.COM, INC.",ec2-52-68-0-1.ap-northeast-1.compute.amazonaws.com
52.68.1.90,JP,"AMAZON.COM, INC.",ec2-52-68-1-90.ap-northeast-1.compute.amazonaws.com
13.107.6.153,US,MICROSOFT CORPORATION,NONE
204.79.197.215,US,MICROSOFT CORPORATION,NONE
147.161.132.5,NL,ZSCALER SWITZERLAND GMBH,NONE
136.226.170.4,DE,"ZSCALER, INC.",NONE
8.8.8.8,US,GOOGLE LLC,dns.google
136.226.170.25,DE,"ZSCALER, INC.",NONE
165.225.72.20,DE,"ZSCALER, INC.",NONE
165.225.74.32,DE,ZSCALER SWITZERLAND GMBH,NONE
8.8.4.4,US,GOOGLE LLC,dns.google
2.2.4.5,SA,ORANGE S.A.,NONE
1.37.0.0,PH,GLOBE TELECOMS,NONE
103.170.18.0,PH,MAMBULAO CABLE TELEVISION,NONE
204.144.200.51,US,"IMON COMMUNICATIONS, LLC",204-144-200-51.dhcp.iwcy.imoncommunications.net
204.145.0.67,PH,CONVERGE ICT SOLUTIONS INC.,67.0.145.204-rev.convergeict.com
204.145.79.89,US,"ATLANTIC METRO COMMUNICATIONS II, INC.",ve155.cr1.lga2.atlanticmetro.net
204.145.0.20,PH,CONVERGE ICT SOLUTIONS INC.,20.0.145.204-rev.convergeict.com
109.196.187.208,UA,"TELERADIOCOMPANY ""CABLE TELEVISION MEREZHI PLUS"" LTD",pppoe-187-208.alexandriya.net
185.242.113.224,DE,MICHAEL SEBASTIAN SCHINZEL TRADING AS IP-PROJECTS GMBH & CO. KG,vmanager9319.premium-vserver.net
213.74.133.14,TR,SUPERONLINE ILETISIM HIZMETLERI A.S.,host-213-74-133-14.superonline.net
59.93.29.14,IN,NATIONAL INTERNET BACKBONE,NONE
41.138.60.225,NE,SOCIETE NIGERIENNE DES TELECOMMUNICATIONS (SONITEL),NONE
163.172.152.231,FR,SCALEWAY S.A.S.,231-152-172-163.instances.scw.cloud

BLACKLIST IPs
109.196.187.208,UA,"TELERADIOCOMPANY ""CABLE TELEVISION MEREZHI PLUS"" LTD",pppoe-187-208.alexandriya.net
185.242.113.224,DE,MICHAEL SEBASTIAN SCHINZEL TRADING AS IP-PROJECTS GMBH & CO. KG,vmanager9319.premium-vserver.net
213.74.133.14,TR,SUPERONLINE ILETISIM HIZMETLERI A.S.,host-213-74-133-14.superonline.net
59.93.29.14,IN,NATIONAL INTERNET BACKBONE,NONE
41.138.60.225,NE,SOCIETE NIGERIENNE DES TELECOMMUNICATIONS (SONITEL),NONE
163.172.152.231,FR,SCALEWAY S.A.S.,231-152-172-163.instances.scw.cloud
